rid,mean_delay
202201017036039,-1.625
202201017036041,-1.4285714285714286
202201017036042,-1.25
202201017036043,-1.7142857142857142
202201017036044,-2.142857142857143
202201017036045,-1.25
202201017036046,-1.4285714285714286
202201017036047,-1.375
202201017036048,-1.8571428571428572
202201017036049,-1.7142857142857142
202201017036050,0.6
202201017036051,-1.25
202201017036052,0.2857142857142857
202201017036053,-1.375
202201017036054,-1.0
202201017036055,-3.125
202201017036056,-1.5714285714285714
202201017036057,-1.5
202201017036058,-0.5714285714285714
202201017036059,-1.375
202201017036060,0.0
202201017036061,-1.75
202201017036062,-0.7142857142857143
202201017036063,-1.0
202201017036064,-1.375
202201017036065,-1.2857142857142858
202201017036066,-1.375
202201017036067,-1.125
202201017036068,-2.2
202201017036069,-1.0
202201017036070,-1.4285714285714286
202201017036071,-1.1666666666666667
202201017036072,-1.125
202201017036073,-1.0
202201017036074,-1.125
202201017036075,18.571428571428573
202201017036076,-1.375
202201017036077,-0.8571428571428571
202201017036078,0.42857142857142855
202201017036079,-3.25
202201017036080,-1.4285714285714286
202201017036081,-1.2
202201026756369,-3.5
202201026756370,-1.2857142857142858
202201028009579,-0.5714285714285714
202201028009582,-1.5
202201028009589,-1.7142857142857142
202201028009597,-0.7142857142857143
202201028009603,-2.2
202201028009606,-2.375
202201028009609,-1.8571428571428572
202201028009616,-1.625
202201028009619,-1.7142857142857142
202201028009626,-1.375
202201028009629,-1.7142857142857142
202201028009636,-0.75
202201028009639,-1.0
202201028009646,-1.25
202201028009649,-0.7142857142857143
202201028009656,-1.625
202201028009659,0.2857142857142857
202201028009665,-1.0
202201028009668,-0.625
202201028009671,-1.4285714285714286
202201028009674,-1.5
202201028009678,-1.75
202201028009681,-2.2
202201028009684,-1.25
202201028009687,-1.4285714285714286
202201028009692,-1.0
202201028009695,-1.375
202201028009698,-1.5714285714285714
202201028009705,-1.0
202201028009708,-1.4285714285714286
202201028009713,-0.75
202201028009716,-1.7142857142857142
202201028009720,-1.2857142857142858
202201028009723,-1.875
202201028009725,-1.2857142857142858
202201028009729,-0.7
202201037025937,-1.75
202201037025940,-1.25
202201037025943,-1.125
202201037025945,-1.0
202201037025947,-1.1428571428571428
202201037025949,-0.625
202201037025951,-0.875
202201037025953,-1.75
202201037025955,-1.5
202201037025957,-0.25
202201037025959,-1.5
202201037025961,1.625
202201037025962,0.625
202201037025964,1.625
202201037025965,-0.875
202201037025967,1.625
202201037025970,4.125
202201037025972,1.5
202201037025974,0.125
202201037025977,3.125
202201037025979,6.4
202201046756367,-1.8333333333333333
202201048009556,-0.7142857142857143
202201048009561,-1.2857142857142858
202201048009569,-1.5
202201048009576,-2.0
202201048009580,-2.0
202201048009592,-1.25
202201048009604,-1.75
202201048009610,-1.6
202201048009614,-0.375
202201048009620,2.2
202201048009624,-1.5
202201048009630,-1.2
202201048009634,-2.375
202201048009644,-1.375
202201048009650,-1.0
202201048009654,-1.0
202201048009660,-1.2
202201048009663,0.125
202201048009666,-1.0
202201048009672,-1.5
202201048009676,-1.4
202201048009682,-1.4285714285714286
202201048009693,0.125
202201048009699,-2.4
202201048009703,-1.5
202201048009711,-0.375
202201048009721,-1.5
202201048009727,-1.4
202201056756367,-1.3333333333333333
202201058009556,-0.8571428571428571
202201058009561,-0.8571428571428571
202201058009569,-1.5
202201058009576,-0.2
202201058009580,-1.2857142857142858
202201058009592,-1.375
202201058009604,-1.375
202201058009610,-0.4
202201058009614,-0.875
202201058009620,-0.8
202201058009624,-1.875
202201058009630,-1.6
202201058009634,0.625
202201058009644,-0.625
202201058009650,-1.2
202201058009654,-1.125
202201058009660,4.6
202201058009663,-1.0
202201058009666,-1.4
202201058009672,-0.375
202201058009676,-1.0
202201058009682,-3.2857142857142856
202201058009693,-0.375
202201058009699,-1.4
202201058009703,-1.375
202201058009711,-0.5
202201058009721,-0.875
202201058009727,0.4
202201066756367,-1.8333333333333333
202201068009556,-0.8571428571428571
202201068009561,0.5714285714285714
202201068009569,-1.5
202201068009576,0.4
202201068009580,-1.8571428571428572
202201068009592,-0.625
202201068009604,-1.25
202201068009610,-1.4
202201068009614,-0.375
202201068009620,-0.4
202201068009624,-0.125
202201068009630,0.2
202201068009634,-1.375
202201068009644,-1.25
202201068009650,-1.6
202201068009654,-0.75
202201068009660,-1.0
202201068009663,1.625
202201068009666,-0.4
202201068009672,-0.375
202201068009676,-0.2
202201068009682,-1.2857142857142858
202201068009693,-0.375
202201068009699,-0.8
202201068009703,3.125
202201068009711,0.0
202201068009721,-1.25
202201068009727,-1.6
202201076756367,-1.5
202201078009556,-1.2857142857142858
202201078009561,-1.4285714285714286
202201078009569,-1.3333333333333333
202201078009576,-2.2
202201078009580,-1.4285714285714286
202201078009592,0.25
202201078009604,-1.875
202201078009610,-0.6
202201078009614,0.0
202201078009620,-0.6
202201078009624,-0.125
202201078009630,-0.2
202201078009634,-0.75
202201078009644,-0.75
202201078009650,-2.0
202201078009654,-1.25
202201078009660,-0.6
202201078009663,-1.125
202201078009666,-1.4
202201078009672,0.25
202201078009676,-1.0
202201078009682,-2.142857142857143
202201078009693,0.0
202201078009699,-2.4
202201078009703,0.75
202201078009711,-1.125
202201078009721,-0.875
202201078009727,-1.7777777777777777
202201086756368,-0.375
202201088009557,0.25
202201088009564,2.857142857142857
202201088009568,0.0
202201088009570,-1.0
202201088009572,-0.14285714285714285
202201088009578,4.571428571428571
202201088009581,1.625
202201088009584,0.4
202201088009586,-1.0
202201088009588,-1.8571428571428572
202201088009591,-0.8
202201088009593,-0.5
202201088009596,-0.7142857142857143
202201088009599,-0.6
202201088009602,-1.4
202201088009605,-1.125
202201088009608,-1.1428571428571428
202201088009611,0.6
202201088009613,-1.4
202201088009615,-1.125
202201088009618,-1.4285714285714286
202201088009625,-0.5
202201088009628,0.7142857142857143
202201088009631,-1.0
202201088009633,-1.6
202201088009635,-0.625
202201088009638,-0.7142857142857143
202201088009641,1.6
202201088009643,-1.2
202201088009645,-0.875
202201088009648,-1.7142857142857142
202201088009651,-1.0
202201088009653,-1.3333333333333333
202201088009655,-0.375
202201088009658,-1.5714285714285714
202201088009661,-1.4
202201088009662,-0.8
202201088009664,-0.75
202201088009670,-1.5
